Symbol,Date,Open,High,Low,Close,Percent Change,Volume,52High,52Low
NMLBBL,2026-03-10,664.7,669.0,640.0,669.0,0.65,68382.0,807.0,600.0
NRIC,2026-03-10,1340.0,1340.0,1280.0,1299.0,-3.06,101100.0,1842.0,1146.0
NRM,2026-03-10,470.0,470.0,440.0,446.0,-5.11,79858.0,590.0,390.1
NRN,2026-03-10,1690.0,1690.0,1576.0,1600.1,-5.32,152439.0,2444.0,1327.0
NSIF2,2026-03-10,10.83,11.03,10.62,11.03,1.85,325759.0,11.93,9.75
NTC,2026-03-10,897.6,942.5,880.0,900.0,0.27,96225.0,942.5,762.5
NUBL,2026-03-10,705.8,733.0,705.8,722.0,2.3,29057.0,854.4,650.0
NWCL,2026-03-10,977.9,977.9,900.0,926.0,-5.31,17795.0,1045.0,740.2
NYADI,2026-03-10,435.0,435.0,413.0,420.0,-3.45,52898.0,663.9,354.0
OHL,2026-03-10,758.6,785.0,717.2,760.0,0.18,33844.0,1049.5,633.1
OMPL,2026-03-10,1421.9,1450.0,1362.0,1398.0,-1.68,24764.0,2167.2,270.0
PBD88,2026-03-10,1195.1,1195.1,1195.0,1195.0,-0.01,65.0,1274.0,1092.0
PCBL,2026-03-10,262.0,265.1,246.0,255.0,-2.67,223749.0,290.0,226.0
PFL,2026-03-10,411.6,427.0,401.0,408.2,-0.83,81331.0,498.0,352.8
PHCL,2026-03-10,333.0,333.0,306.0,320.0,-3.9,555493.0,688.5,249.7
PMHPL,2026-03-10,398.0,416.0,377.0,416.0,4.52,201187.0,468.0,272.0
PMLI,2026-03-10,535.0,535.0,509.6,517.9,-3.2,27881.0,622.0,445.0
PPCL,2026-03-10,411.0,415.0,391.1,411.0,0.0,194692.0,415.0,284.1
PPL,2026-03-10,425.0,425.0,400.0,403.0,-5.18,367272.0,569.2,263.2
PRIN,2026-03-10,774.0,787.0,749.0,777.0,0.39,67703.0,1088.8,630.0
PROFL,2026-03-10,515.0,515.0,481.0,494.0,-4.08,50473.0,593.0,421.4
PRSF,2026-03-10,11.19,11.41,11.19,11.32,1.16,26800.0,12.05,9.85
PRVU,2026-03-10,217.2,224.0,204.0,209.0,-3.78,951258.0,250.9,179.9
PSF,2026-03-10,11.04,11.56,11.04,11.39,3.17,73500.0,11.9,9.86
PURE,2026-03-10,1111.8,1111.8,1010.3,1047.0,-5.83,40907.0,1327.9,289.3
RADHI,2026-03-10,922.0,922.0,883.6,897.0,-2.71,511932.0,940.0,373.0
RAWA,2026-03-10,754.8,769.0,730.0,752.0,-0.37,6441.0,940.0,686.0
RBBD2088,2026-03-10,1035.3,1056.0,1035.3,1056.0,2.0,75.0,1100.0,967.6
RBBD83,2026-03-10,1052.0,1052.0,1052.0,1052.0,0.0,10.0,1100.0,1016.3
RBBF40,2026-03-10,9.27,9.45,9.27,9.28,0.11,13900.0,10.11,8.98
RBCL,2026-03-10,15502.8,15616.2,15305.0,15546.0,0.28,877.0,16900.0,14251.0
RBCLPO,2026-03-10,12000.0,12200.0,12000.0,12200.0,1.67,130.0,13530.0,11025.0
RFPL,2026-03-10,435.0,435.0,413.0,418.0,-3.91,242660.0,815.0,306.0
RHGCL,2026-03-10,315.0,315.0,289.0,299.5,-4.92,177931.0,640.0,217.2
RHPL,2026-03-10,318.0,318.0,299.1,301.5,-5.19,208899.0,457.0,252.3
RIDI,2026-03-10,340.0,340.0,324.0,332.0,-2.35,1810745.0,343.2,203.5
RLFL,2026-03-10,490.0,499.8,471.0,487.0,-0.61,79610.0,581.0,398.0
RMF1,2026-03-10,9.77,9.93,9.41,9.65,-1.23,47110.0,11.4,8.38
RMF2,2026-03-10,10.03,10.03,10.03,10.03,0.0,7400.0,10.58,8.78
RNLI,2026-03-10,515.0,520.0,492.0,503.1,-2.31,157164.0,586.5,416.0
RSDC,2026-03-10,724.2,724.2,680.0,689.0,-4.86,57251.0,880.0,578.7
RSML,2026-03-10,688.8,742.8,688.8,742.8,7.84,80.0,742.8,300.0
RSY,2026-03-10,10.0,10.23,9.9,10.2,2.0,35040.0,10.23,8.58
RURU,2026-03-10,715.0,715.0,682.1,690.0,-3.5,18968.0,853.0,640.0
SABBL,2026-03-10,727.0,784.0,727.0,784.0,7.84,1950.0,784.0,300.0
SADBL,2026-03-10,445.0,445.0,424.1,437.9,-1.6,128374.0,526.5,376.0
SAGAR,2026-03-10,2180.0,2180.0,2040.0,2059.0,-5.55,49300.0,2439.0,319.5
SAGF,2026-03-10,10.09,10.24,10.03,10.05,-0.4,6038.0,11.31,8.79
SAHAS,2026-03-10,637.3,650.0,610.0,625.1,-1.91,391060.0,705.0,483.3
SAIL,2026-03-10,1470.0,1470.0,1375.0,1400.0,-4.76,117827.0,1690.0,301.7
SALICO,2026-03-10,636.0,636.0,610.0,625.8,-1.6,18533.0,765.9,570.1
SANIMA,2026-03-10,360.9,368.0,350.0,357.0,-1.08,291198.0,391.0,294.3
SANVI,2026-03-10,909.0,909.0,845.0,859.0,-5.5,98825.0,1060.0,359.0
SAPDBL,2026-03-10,890.0,890.0,830.1,858.5,-3.54,64559.0,1284.0,686.0
SARBTM,2026-03-10,942.4,942.4,880.0,911.0,-3.33,71555.0,1048.0,760.2
SBCF,2026-03-10,9.65,9.9,9.65,9.9,2.59,24470.0,12.03,8.7
SBI,2026-03-10,440.0,440.0,412.7,422.0,-4.09,96072.0,452.0,363.0
SBID2090,2026-03-10,1059.18,1061.0,1059.18,1061.0,0.17,252.0,1107.0,1000.0
SBL,2026-03-10,405.0,405.0,391.1,398.9,-1.51,256460.0,416.0,261.0
SBLD2091,2026-03-10,1073.0,1073.0,1065.0,1065.0,-0.75,86.0,1150.0,109.0
SCB,2026-03-10,712.0,712.6,653.3,685.0,-3.79,82493.0,712.6,594.9
SDBD87,2026-03-10,1132.1,1132.1,1131.1,1131.1,-0.09,273.0,1196.2,1035.3
SEF,2026-03-10,9.89,9.94,9.6,9.9,0.1,45950.0,11.5,8.6
SFCL,2026-03-10,418.2,442.0,411.6,419.0,0.19,69735.0,587.0,359.4
SFEF,2026-03-10,10.12,10.12,10.1,10.1,-0.2,292200.0,11.12,8.82
SFMF,2026-03-10,10.1,10.26,10.1,10.26,1.58,7924.0,11.74,9.4
SGHC,2026-03-10,440.0,440.0,407.3,421.0,-4.32,79102.0,564.0,296.0
SGIC,2026-03-10,505.0,515.0,490.1,504.0,-0.2,58354.0,700.0,439.0
SHEL,2026-03-10,335.0,335.0,312.7,318.0,-5.07,614943.0,347.8,241.1
SHINE,2026-03-10,440.0,440.0,415.0,429.0,-2.5,87480.0,499.0,382.0
SHINED,2026-03-10,1130.1,1130.1,1130.1,1130.1,0.0,125.0,1200.0,1000.0
SHIVM,2026-03-10,680.0,680.0,647.1,670.0,-1.47,726890.0,709.0,495.0
SHL,2026-03-10,530.0,530.0,503.0,515.0,-2.83,137995.0,619.0,464.0
SHLB,2026-03-10,1669.8,1700.0,1643.0,1656.0,-0.83,1997.0,2377.0,1535.1
SHPC,2026-03-10,580.0,584.0,551.0,569.0,-1.9,204581.0,684.9,443.1
SICL,2026-03-10,677.9,689.0,650.0,674.0,-0.58,44641.0,876.9,588.8
SIFC,2026-03-10,641.5,641.5,604.8,620.0,-3.35,48104.0,687.4,459.0
SIGS2,2026-03-10,9.69,9.85,9.5,9.7,0.1,21295.0,11.7,8.9
SIGS3,2026-03-10,10.25,10.25,10.15,10.2,-0.49,1700.0,11.46,8.5
SIKLES,2026-03-10,653.6,665.0,615.1,648.3,-0.81,94053.0,1223.0,540.0
SINDU,2026-03-10,800.0,824.0,770.0,792.0,-1.0,38884.0,1247.0,608.0
SJCL,2026-03-10,323.0,323.0,304.8,313.9,-2.82,94325.0,355.9,267.0
SJLIC,2026-03-10,480.0,485.0,456.5,481.0,0.21,159925.0,489.9,390.0
SKBBL,2026-03-10,828.0,828.0,795.0,810.0,-2.17,65247.0,999.0,752.0
SLBBL,2026-03-10,890.0,897.0,850.0,886.5,-0.39,19353.0,1155.0,780.0
SLBSL,2026-03-10,1362.9,1390.0,1337.0,1385.0,1.62,8248.0,2582.0,1234.5
SLCF,2026-03-10,9.5,9.6,9.5,9.6,1.05,3200.0,11.99,8.6
SMATA,2026-03-10,869.0,869.6,808.8,834.9,-3.92,19521.0,1382.0,734.1
SMB,2026-03-10,2029.9,2029.9,1950.0,1980.0,-2.46,3922.0,2800.0,1710.1
