Symbol,Date,Close_at_Signal,Latest_Close,P/L_%,Status,Standard_Signals,Strict_Signals,Latest_RSI,NV_Range,Recommended_NV_Threshold,Recommended_NV_Improvement,Recommended_Drawdown,Recommended_EMA50_Min,Recommended_EMA50_Max,Recommended_Volume_Ratio
GRDBL,2019-12-04,102.0,1068.0,947.06,STANDARD_ONLY,238,0,42.9,39.6 to 223.9,229.0,-5.0,-9.0,-69.0,20.0,7.61
UNHPL,2020-07-06,49.0,509.0,938.78,STANDARD_ONLY,191,0,63.1,75.4 to 174.9,180.0,-5.0,-8.0,-33.0,29.0,3.68
UNHPL,2020-07-07,49.0,509.0,938.78,STANDARD_ONLY,191,0,63.1,75.4 to 174.9,180.0,-5.0,-8.0,-33.0,29.0,3.68
UNHPL,2020-07-02,49.0,509.0,938.78,STANDARD_ONLY,191,0,63.1,75.4 to 174.9,180.0,-5.0,-8.0,-33.0,29.0,3.68
UNHPL,2020-07-13,49.01,509.0,938.56,STANDARD_ONLY,191,0,63.1,75.4 to 174.9,180.0,-5.0,-8.0,-33.0,29.0,3.68
RHPC,2020-03-19,81.0,840.0,937.04,STANDARD_ONLY,215,0,75.0,41.9 to 499.1,504.0,-5.0,-9.0,-24.0,32.0,6.39
RHPC,2019-09-17,81.0,840.0,937.04,STANDARD_ONLY,215,0,75.0,41.9 to 499.1,504.0,-5.0,-9.0,-24.0,32.0,6.39
RHPC,2019-09-12,81.0,840.0,937.04,STANDARD_ONLY,215,0,75.0,41.9 to 499.1,504.0,-5.0,-9.0,-24.0,32.0,6.39
GRDBL,2019-09-16,103.0,1068.0,936.89,STANDARD_ONLY,238,0,42.9,39.6 to 223.9,229.0,-5.0,-9.0,-69.0,20.0,7.61
GRDBL,2019-10-03,103.0,1068.0,936.89,STANDARD_ONLY,238,0,42.9,39.6 to 223.9,229.0,-5.0,-9.0,-69.0,20.0,7.61
GRDBL,2019-02-06,103.0,1068.0,936.89,STANDARD_ONLY,238,0,42.9,39.6 to 223.9,229.0,-5.0,-9.0,-69.0,20.0,7.61
GRDBL,2019-09-22,104.0,1068.0,926.92,STANDARD_ONLY,238,0,42.9,39.6 to 223.9,229.0,-5.0,-9.0,-69.0,20.0,7.61
GRDBL,2019-01-22,104.0,1068.0,926.92,STANDARD_ONLY,238,0,42.9,39.6 to 223.9,229.0,-5.0,-9.0,-69.0,20.0,7.61
UNHPL,2020-07-09,49.98,509.0,918.41,STANDARD_ONLY,191,0,63.1,75.4 to 174.9,180.0,-5.0,-8.0,-33.0,29.0,3.68
UNHPL,2019-11-26,50.0,509.0,918.0,STANDARD_ONLY,191,0,63.1,75.4 to 174.9,180.0,-5.0,-8.0,-33.0,29.0,3.68
GRDBL,2019-01-21,105.0,1068.0,917.14,STANDARD_ONLY,238,0,42.9,39.6 to 223.9,229.0,-5.0,-9.0,-69.0,20.0,7.61
GRDBL,2019-09-19,105.0,1068.0,917.14,STANDARD_ONLY,238,0,42.9,39.6 to 223.9,229.0,-5.0,-9.0,-69.0,20.0,7.61
RHPC,2020-03-16,83.0,840.0,912.05,STANDARD_ONLY,215,0,75.0,41.9 to 499.1,504.0,-5.0,-9.0,-24.0,32.0,6.39
GRDBL,2020-03-18,106.0,1068.0,907.55,STANDARD_ONLY,238,0,42.9,39.6 to 223.9,229.0,-5.0,-9.0,-69.0,20.0,7.61
RHPC,2019-09-02,84.0,840.0,900.0,STANDARD_ONLY,215,0,75.0,41.9 to 499.1,504.0,-5.0,-9.0,-24.0,32.0,6.39
RHPC,2019-02-25,84.0,840.0,900.0,STANDARD_ONLY,215,0,75.0,41.9 to 499.1,504.0,-5.0,-9.0,-24.0,32.0,6.39
RHPC,2019-08-21,84.0,840.0,900.0,STANDARD_ONLY,215,0,75.0,41.9 to 499.1,504.0,-5.0,-9.0,-24.0,32.0,6.39
KRBL,2012-09-26,81.0,810.0,900.0,STANDARD_ONLY,340,0,46.4,52.3 to 296.1,301.0,-5.0,-9.0,-53.0,17.0,5.92
GRDBL,2019-01-07,107.0,1068.0,898.13,STANDARD_ONLY,238,0,42.9,39.6 to 223.9,229.0,-5.0,-9.0,-69.0,20.0,7.61
UNHPL,2020-07-15,51.0,509.0,898.04,STANDARD_ONLY,191,0,63.1,75.4 to 174.9,180.0,-5.0,-8.0,-33.0,29.0,3.68
UNHPL,2019-11-12,51.0,509.0,898.04,STANDARD_ONLY,191,0,63.1,75.4 to 174.9,180.0,-5.0,-8.0,-33.0,29.0,3.68
GRDBL,2020-07-13,108.0,1068.0,888.89,STANDARD_ONLY,238,0,42.9,39.6 to 223.9,229.0,-5.0,-9.0,-69.0,20.0,7.61
GRDBL,2019-08-15,108.0,1068.0,888.89,STANDARD_ONLY,238,0,42.9,39.6 to 223.9,229.0,-5.0,-9.0,-69.0,20.0,7.61
RHPC,2019-03-03,85.0,840.0,888.24,STANDARD_ONLY,215,0,75.0,41.9 to 499.1,504.0,-5.0,-9.0,-24.0,32.0,6.39
RHPC,2019-02-26,85.0,840.0,888.24,STANDARD_ONLY,215,0,75.0,41.9 to 499.1,504.0,-5.0,-9.0,-24.0,32.0,6.39
RHPC,2019-09-04,85.0,840.0,888.24,STANDARD_ONLY,215,0,75.0,41.9 to 499.1,504.0,-5.0,-9.0,-24.0,32.0,6.39
KRBL,2014-01-13,82.0,810.0,887.8,STANDARD_ONLY,340,0,46.4,52.3 to 296.1,301.0,-5.0,-9.0,-53.0,17.0,5.92
GRDBL,2019-01-03,109.0,1068.0,879.82,STANDARD_ONLY,238,0,42.9,39.6 to 223.9,229.0,-5.0,-9.0,-69.0,20.0,7.61
GRDBL,2018-12-06,109.0,1068.0,879.82,STANDARD_ONLY,238,0,42.9,39.6 to 223.9,229.0,-5.0,-9.0,-69.0,20.0,7.61
GRDBL,2018-12-03,109.0,1068.0,879.82,STANDARD_ONLY,238,0,42.9,39.6 to 223.9,229.0,-5.0,-9.0,-69.0,20.0,7.61
UNHPL,2020-05-12,52.0,509.0,878.85,STANDARD_ONLY,191,0,63.1,75.4 to 174.9,180.0,-5.0,-8.0,-33.0,29.0,3.68
UNHPL,2019-11-13,52.0,509.0,878.85,STANDARD_ONLY,191,0,63.1,75.4 to 174.9,180.0,-5.0,-8.0,-33.0,29.0,3.68
