Date,Open,High,Low,Close,Volume,Symbol,EMA_10,EMA_25,EMA_Difference,Monthly_Crossover,EMA_Gap_%
2026-04-30,1180.0,1211.0,1180.0,1211.0,125.0,PBLD86,1167.66,1163.94,3.71,True,0.32
2026-04-30,400.5,1592.3,400.5,1150.0,618862.0,RLEL,535.79,457.05,78.74,True,17.23
2026-04-30,100.0,108.1,100.0,108.1,670485.0,PCBLP,101.47,100.62,0.85,True,0.84
2026-04-30,377.1,2069.4,377.1,1419.9,284195.0,SKHEL,567.6,458.33,109.27,True,23.84
2026-04-30,590.1,1305.0,590.1,1035.0,690989.0,BJHL,661.58,613.71,47.87,True,7.8
2026-04-30,492.7,1360.0,492.7,980.1,841585.0,SKHL,573.46,521.33,52.13,True,10.0
2026-04-30,700.0,875.5,592.0,710.0,6419278.0,SOHL,694.54,692.55,1.98,True,0.29
2026-03-31,1543.1,1768.4,1543.1,1620.0,124003.0,CYCL,1582.81,1580.95,1.86,True,0.12
2026-03-31,10.8,12.2,10.62,12.2,1393504.0,PSF,11.44,11.37,0.07,True,0.59
2026-03-31,10.44,11.45,10.44,11.1,2371826.0,NSIF2,10.77,10.74,0.03,True,0.3
2026-03-31,11.21,12.2,11.16,11.93,1686757.0,PRSF,11.45,11.4,0.06,True,0.48
2026-03-31,9.25,9.88,8.99,9.45,916200.0,CSY,9.31,9.29,0.02,True,0.19
2026-03-31,254.0,324.0,254.0,286.0,2182777.0,MHNL,264.63,263.25,1.38,True,0.53
2026-03-31,1760.0,1913.0,1745.0,1824.0,311916.0,CIT,1781.68,1776.64,5.04,True,0.28
2026-03-31,295.0,340.0,291.1,316.0,2575840.0,ADBL,307.15,306.43,0.72,True,0.24
2026-03-31,436.0,483.0,435.0,453.7,858557.0,ILI,447.47,447.21,0.26,True,0.06
2026-03-31,9.4,9.99,9.2,9.71,631538.0,NICGF2,9.34,9.3,0.04,True,0.45
2026-03-31,231.2,260.8,221.5,244.0,7070181.0,GBIME,235.6,234.59,1.01,True,0.43
2026-03-31,242.0,242.0,242.0,242.0,60739.0,GBBLPO,213.47,207.39,6.09,True,2.93
2026-03-31,9.32,10.22,9.31,9.99,1590138.0,NBF3,9.66,9.62,0.03,True,0.35
2026-03-31,9.8,10.6,9.48,10.0,2150514.0,NBF2,9.81,9.8,0.01,True,0.11
2026-03-31,1050.0,1174.0,1040.3,1150.0,179636.0,FOWAD,1093.92,1089.74,4.18,True,0.38
2026-03-31,740.2,876.0,740.2,793.0,276356.0,VLBS,769.18,767.81,1.37,True,0.18
2026-03-31,187.0,256.0,184.0,232.0,41464553.0,KBL,199.77,197.3,2.47,True,1.25
2026-03-31,9.81,10.76,9.81,10.76,2940618.0,KDBY,10.25,10.2,0.05,True,0.47
2026-03-31,468.0,540.0,465.0,491.0,543438.0,CITY,481.76,480.98,0.78,True,0.16
2026-03-31,10.61,11.67,10.61,11.15,993710.0,GIBF1,10.78,10.75,0.04,True,0.35
2026-03-31,11924.7,13420.9,11614.0,12200.0,4290.0,RBCLPO,12069.88,12061.4,8.48,True,0.07
2026-03-31,360.1,412.9,360.0,377.0,2991721.0,HLI,371.02,370.89,0.13,True,0.04
2026-03-31,310.9,338.6,303.4,331.0,87393.0,HEIP,317.75,317.22,0.53,True,0.17
2026-03-31,9.6,10.65,9.46,10.23,3735913.0,SFEF,9.9,9.86,0.04,True,0.39
2026-03-31,626.1,690.0,625.0,654.9,455048.0,SICL,633.69,631.5,2.19,True,0.35
2026-03-31,9.57,11.53,8.66,10.2,1820937.0,SEF,9.82,9.79,0.03,True,0.3
2026-03-31,1195.0,1195.0,1195.0,1204.0,18.0,BOKD86KA,1192.25,1190.93,1.31,True,0.11
2026-03-31,1307.9,1441.2,1280.0,1394.2,83386.0,SLBSL,1331.92,1325.11,6.82,True,0.51
2026-03-31,775.0,909.9,760.0,822.0,409948.0,SMATA,802.38,801.3,1.08,True,0.13
2026-03-31,189.0,230.6,186.1,214.8,32881542.0,HIDCLP,199.42,197.98,1.44,True,0.73
2026-03-31,4601.0,5600.0,4581.4,5100.0,33842.0,BBC,4875.89,4874.06,1.83,True,0.04
2026-03-31,578.8,2000.0,578.8,1620.0,819055.0,SABBL,772.77,664.15,108.62,True,16.35
2026-03-31,504.1,580.8,504.1,546.9,447804.0,HEI,519.64,516.36,3.27,True,0.63
2026-03-31,226.0,284.0,218.0,254.5,7997021.0,MBL,232.88,230.51,2.37,True,1.03
2026-03-31,462.0,538.5,462.0,494.1,922635.0,SGIC,482.91,482.79,0.12,True,0.03
2026-03-31,214.0,241.2,206.0,221.9,6466060.0,LSL,215.59,215.22,0.37,True,0.17
2026-03-31,9.26,9.91,9.02,9.67,218820.0,HLICF,9.34,9.31,0.03,True,0.32
2026-03-31,9.81,10.52,9.81,10.15,502235.0,RMF2,9.87,9.84,0.04,True,0.36
2026-03-31,445.0,514.9,444.0,472.9,958062.0,RLFL,462.44,462.29,0.15,True,0.03
2026-03-31,561.9,2679.3,561.9,2679.3,16575.0,RSML,951.46,729.95,221.52,True,30.35
2026-03-31,390.0,437.7,388.2,405.0,1552521.0,SRLI,396.4,395.56,0.84,True,0.21
2026-02-28,10.11,10.5,9.81,10.3,192671.0,SIGS3,10.14,10.12,0.02,True,0.2
2026-02-28,8.94,11.03,8.46,9.16,772775.0,NIBLGF,9.08,9.07,0.01,True,0.12
2026-02-28,6051.0,6398.0,5900.0,6355.4,15482.0,ANLB,6145.84,6124.69,21.15,True,0.35
2026-02-28,8.85,9.55,8.56,9.05,1886913.0,NIBLSTF,8.94,8.93,0.01,True,0.15
2026-02-28,1045.0,1080.0,1040.0,1080.0,3062.0,NICAD2091,1071.12,1070.97,0.15,True,0.01
2026-02-28,275.0,288.6,254.0,263.8,7585759.0,AKPL,255.66,254.99,0.66,True,0.26
