Symbol,Date,Open,High,Low,Close,Volume
ACLBSL,10/26/2023,553,555,545,555,476
ACLBSL,10/25/2023,553,555,545,555,476
ACLBSL,10/24/2023,553,555,545,555,476
ACLBSL,10/23/2023,553,555,545,555,476
ACLBSL,10/22/2023,553,555,545,555,476
ACLBSL,10/21/2023,553,555,545,555,476
ACLBSL,10/20/2023,553,555,545,555,476
ACLBSL,10/19/2023,553,555,545,555,476
ACLBSL,10/18/2023,545,555,544,545,362
ACLBSL,10/17/2023,523,551.4,523,535,322
ACLBSL,10/16/2023,529,535,520.1,530,471
ACLBSL,10/15/2023,530,539,525,539,"1,544.00"
ACLBSL,10/14/2023,530,539,525,539,"1,544.00"
ACLBSL,10/13/2023,530,539,525,539,"1,544.00"
ACLBSL,10/12/2023,530,539,525,539,"1,544.00"
ACLBSL,10/11/2023,545,545,527.1,536,447
ACLBSL,10/10/2023,541,541,531,535,906
ACLBSL,10/9/2023,540,555.9,537.2,550,202
ACLBSL,10/8/2023,546,549,540,545.9,391
ACLBSL,10/7/2023,555.2,571.2,550,550,455
ACLBSL,10/6/2023,555.2,571.2,550,550,455
ACLBSL,10/5/2023,555.2,571.2,550,550,455
ACLBSL,10/4/2023,564,570,555,565,784
ACLBSL,10/3/2023,560,569.9,553,553,509
ACLBSL,10/2/2023,561,564,550,564,551
ACLBSL,10/1/2023,550.8,572.9,540.1,550,887
ACLBSL,9/30/2023,554,583,554,562,"1,422.00"
ACLBSL,9/29/2023,554,583,554,562,"1,422.00"
ACLBSL,9/28/2023,554,583,554,562,"1,422.00"
ACLBSL,9/27/2023,554,583,554,562,"1,422.00"
ACLBSL,9/26/2023,563,566,552,565,"1,438.00"
ACLBSL,9/25/2023,554,564.7,543,552,828
ACLBSL,9/24/2023,559,567,551,565,"1,159.00"
ACLBSL,9/23/2023,532,562,532,559,"1,121.00"
ACLBSL,9/22/2023,532,562,532,559,"1,121.00"
ACLBSL,9/21/2023,532,562,532,559,"1,121.00"
ACLBSL,9/20/2023,535,540,534.5,540,523
ACLBSL,9/19/2023,535,540,534.5,540,523
ACLBSL,9/18/2023,532.1,544.6,532,540,708
ACLBSL,9/17/2023,548,549.9,530,534.1,686
ACLBSL,9/16/2023,540,548,535,548,661
ACLBSL,9/15/2023,540,548,535,548,661
ACLBSL,9/14/2023,540,548,535,548,661
ACLBSL,9/13/2023,540,548,535,548,661
ACLBSL,9/12/2023,536,540,528.1,532,419
ACLBSL,9/11/2023,530,538,530,536,443
ACLBSL,9/10/2023,530,535,529,532,343
ACLBSL,9/9/2023,543.7,552,535,535,"1,601.00"
ACLBSL,9/8/2023,543.7,552,535,535,"1,601.00"
ACLBSL,9/7/2023,543.7,552,535,535,"1,601.00"
ACLBSL,9/6/2023,540,540,532.1,533.1,447
ACLBSL,9/5/2023,540,540,532.1,533.1,447
ACLBSL,9/4/2023,551,551,536.1,540,668
ACLBSL,9/3/2023,544,552,534,540.2,615
ACLBSL,9/2/2023,557,557,544.1,555,"1,362.00"
ACLBSL,9/1/2023,557,557,544.1,555,"1,362.00"
ACLBSL,8/31/2023,557,557,544.1,555,"1,362.00"
ACLBSL,8/30/2023,557,557,544.1,555,"1,362.00"
ACLBSL,8/29/2023,546,559,546,547,431
ACLBSL,8/28/2023,542,555,542,555,309
ACLBSL,8/27/2023,553,558,550,552,856
ACLBSL,8/26/2023,567,572,560,563,"1,128.00"
ACLBSL,8/25/2023,567,572,560,563,"1,128.00"
ACLBSL,8/24/2023,567,572,560,563,"1,128.00"
ACLBSL,8/23/2023,582,582,572,575,456
ACLBSL,8/22/2023,581.4,581.4,560,571,868
ACLBSL,8/21/2023,585.4,585.4,568.4,570,499
ACLBSL,8/20/2023,584,584,562.6,574,673
ACLBSL,8/19/2023,580,580,569,574,397
ACLBSL,8/18/2023,580,580,569,574,397
ACLBSL,8/17/2023,580,580,569,574,397
ACLBSL,8/16/2023,580,585,569,569,"1,632.00"
ACLBSL,8/15/2023,589,595,580,585,"1,056.00"
ACLBSL,8/14/2023,610,610,598.1,598.2,"3,049.00"
ACLBSL,8/13/2023,607,615,601,614,607
ACLBSL,8/12/2023,623,623,601,607.1,509
ACLBSL,8/11/2023,623,623,601,607.1,509
ACLBSL,8/10/2023,623,623,601,607.1,509
ACLBSL,8/9/2023,590,611,588.8,611,982
ACLBSL,8/7/2023,619.9,625,610,621.9,480
ACLBSL,8/6/2023,646,646.6,604.2,620,707
ACLBSL,8/5/2023,636,644,620,634,476
ACLBSL,8/4/2023,636,644,620,634,476
ACLBSL,8/3/2023,636,644,620,634,476
ACLBSL,8/2/2023,631,631,596.1,624,485
ACLBSL,8/1/2023,636.9,636.9,607.6,619,"1,495.00"
ACLBSL,7/31/2023,624.3,641,624.3,624.5,747
ACLBSL,7/30/2023,644,653,620.4,637,"2,122.00"
ACLBSL,7/29/2023,650,660,640.1,644,"1,679.00"
ACLBSL,7/28/2023,650,660,640.1,644,"1,679.00"
ACLBSL,7/27/2023,650,660,640.1,644,"1,679.00"
ACLBSL,7/26/2023,666,680,655,662,"1,930.00"
ACLBSL,7/25/2023,686,686,656,667,782
ACLBSL,7/24/2023,679.9,693,665,672.9,"3,773.00"
ACLBSL,7/23/2023,683.4,683.4,658,675,"1,570.00"
ACLBSL,7/22/2023,679.9,679.9,653.8,670,"1,425.00"
ACLBSL,7/21/2023,679.9,679.9,653.8,670,"1,425.00"
ACLBSL,7/20/2023,679.9,679.9,653.8,670,"1,425.00"
ACLBSL,7/19/2023,687,687,667.1,667.1,726
ACLBSL,7/18/2023,661,695,661,674,"1,967.00"
ACLBSL,7/17/2023,647,676,647,673.9,"2,473.00"
ACLBSL,7/16/2023,641,656,638.5,647,588
ACLBSL,7/15/2023,667.3,680,650,650,"3,376.00"
ACLBSL,7/14/2023,667.3,680,650,650,"3,376.00"
ACLBSL,7/13/2023,667.3,680,650,650,"3,376.00"
ACLBSL,7/12/2023,640,655,630.1,654.5,"2,397.00"
ACLBSL,7/11/2023,640,640,617.5,637.4,"1,982.00"
ACLBSL,7/10/2023,630,645,630,637,"1,721.00"
ACLBSL,7/9/2023,630.3,642.5,617.4,625,"2,119.00"
ACLBSL,7/8/2023,630,634,615,618,"1,363.00"
ACLBSL,7/7/2023,630,634,615,618,"1,363.00"
ACLBSL,7/6/2023,630,634,615,618,"1,363.00"
ACLBSL,7/5/2023,636,658,627.1,627.1,"2,362.00"
ACLBSL,7/4/2023,650,650,636,636,"1,843.00"
ACLBSL,7/3/2023,640,660,640,640,"1,645.00"
ACLBSL,7/2/2023,699,699,648,653,"5,194.00"
ACLBSL,7/1/2023,716.3,716.3,675,691,"5,031.00"
ACLBSL,6/30/2023,716.3,716.3,675,691,"5,031.00"
ACLBSL,6/29/2023,716.3,716.3,675,691,"5,031.00"
ACLBSL,6/28/2023,716.3,716.3,675,691,"5,031.00"
ACLBSL,6/27/2023,651.1,702.3,640,702.3,"12,853.00"
ACLBSL,6/26/2023,627,638.5,618,638.5,"4,860.00"
ACLBSL,6/25/2023,602,615,600,615,"2,930.00"
ACLBSL,6/24/2023,590,607,590,594,"1,040.00"
ACLBSL,6/23/2023,590,607,590,594,"1,040.00"
ACLBSL,6/22/2023,590,607,590,594,"1,040.00"
ACLBSL,6/21/2023,601,607,590,590.1,"4,349.00"
ACLBSL,6/20/2023,628,630,612.5,612.5,"2,923.00"
ACLBSL,6/19/2023,616.1,640,616.1,630,"2,640.00"
ACLBSL,6/18/2023,620,626.1,615,624,"4,011.00"
ACLBSL,6/17/2023,630,630,610,614,986
ACLBSL,6/16/2023,630,630,610,614,986
ACLBSL,6/15/2023,630,630,610,614,986
ACLBSL,6/14/2023,610,634,610,622,"3,566.00"
ACLBSL,6/13/2023,582.4,616,582.4,605.5,"7,089.00"
ACLBSL,6/12/2023,588,595,588,593,"1,407.00"
ACLBSL,6/11/2023,588,589,583,587.9,"1,317.00"
ACLBSL,6/10/2023,572,581.6,570,580,"1,721.00"
ACLBSL,6/9/2023,572,581.6,570,580,"1,721.00"
ACLBSL,6/8/2023,572,581.6,570,580,"1,721.00"
ACLBSL,6/7/2023,592.6,602,579,580.1,"1,819.00"
ACLBSL,6/6/2023,573,581,573,581,"2,001.00"
ACLBSL,6/5/2023,580.1,591,571.5,583,872
ACLBSL,6/4/2023,572.2,582,570.2,582,"3,884.00"
ACLBSL,6/3/2023,545.1,566,545,561,521
ACLBSL,6/2/2023,545.1,566,545,561,521
ACLBSL,6/1/2023,545.1,566,545,561,521
ACLBSL,5/31/2023,570,570,544.1,556,"2,967.00"
ACLBSL,5/30/2023,595,605,560.2,575,"1,342.00"
ACLBSL,5/29/2023,614.9,624,605.1,605.1,"4,384.00"
ACLBSL,5/28/2023,614.9,624,605.1,605.1,"4,384.00"
ACLBSL,5/27/2023,579,603.8,579,603.8,"2,432.00"
ACLBSL,5/26/2023,579,603.8,579,603.8,"2,432.00"
ACLBSL,5/25/2023,579,603.8,579,603.8,"2,432.00"
ACLBSL,5/24/2023,579,603.8,579,603.8,"2,432.00"
ACLBSL,5/23/2023,568,575,562.3,570,"3,547.00"
ACLBSL,5/22/2023,540,560,540,560,"1,872.00"
ACLBSL,5/21/2023,545,566.1,537,547,740
ACLBSL,5/20/2023,536,554,536,540,780
ACLBSL,5/19/2023,536,554,536,540,780
ACLBSL,5/18/2023,536,554,536,540,780
ACLBSL,5/17/2023,535,557,535,536,"1,200.00"
ACLBSL,5/16/2023,531,536,531,536,72
ACLBSL,5/15/2023,540,542,530,535,756
ACLBSL,5/14/2023,540,541,531,534.5,531
ACLBSL,5/13/2023,550,550,548,549,163
ACLBSL,5/12/2023,550,550,548,549,163
ACLBSL,5/11/2023,550,550,548,549,163
ACLBSL,5/10/2023,566.2,566.2,546.5,546.5,192
ACLBSL,5/9/2023,563,565,550,555.1,202
ACLBSL,5/8/2023,555,555.5,550,552,295
ACLBSL,5/7/2023,580,580,550,550,397
ACLBSL,5/6/2023,562,584.4,558.2,580,524
ACLBSL,5/5/2023,562,584.4,558.2,580,524
ACLBSL,5/4/2023,562,584.4,558.2,580,524
ACLBSL,5/3/2023,569,569,559,562,141
ACLBSL,5/2/2023,563,574.2,562,562,295
ACLBSL,5/1/2023,560.1,563,560.1,563,105
ACLBSL,4/30/2023,560.1,563,560.1,563,105
ACLBSL,4/29/2023,562,571,562,571,141
