Symbol,Date,Open,High,Low,Close,Percent Change,Volume,52High,52Low,EMA_20,EMA_50,RSI,30D_Avg_Volume,Slope_20,Slope_50,Crossover
UHEWA,2026-08-13,600.0,670.0,600.0,633.0,5.5,87365.0,692.6,521.0,593.122639469435,590.9869389059216,65.0735294117647,35621.76666666667,2.7904395816056193,0.9927864818066154,True
ALBSL,2026-08-13,1071.0,1165.0,1071.0,1125.0,5.04,13675.0,1334.0,930.0,1096.8763276142995,1096.1136159862663,62.7005347593583,6408.033333333334,1.5244142696678864,0.5049597670285493,True
KEF,2026-08-12,10.59,10.85,10.52,10.83,2.27,366136.0,11.3,8.31,10.565690202528904,10.56291027543122,62.790697674418595,144546.56666666668,0.016373206641020134,0.0052372354407289375,True
NSIF2,2026-08-12,10.7,10.87,10.7,10.87,1.59,12306.0,11.45,9.65,10.70733661634044,10.699300938585825,60.204081632652986,14980.166666666666,0.00629386839955437,0.0023459205042456687,True
SOHL,2026-08-10,688.0,724.4,688.0,711.0,3.34,651181.0,875.5,300.0,619.3479558017222,616.3590333443192,69.5209973753281,167497.63333333333,6.446154129937372,2.192368908183403,True
MSLB,2026-08-07,1230.0,1265.0,1230.0,1258.0,2.28,909.0,1634.0,1089.9,1246.4923237588673,1246.3505227906594,51.54814562776453,1600.4666666666667,3.7512204811758236,1.3649399085887581,True
NTC,2026-08-07,870.9,870.9,862.0,863.9,-0.8,8319.0,942.5,831.0,860.8349886812042,860.7628941643201,44.91017964071852,8612.5,0.3387630083163913,0.11660643138047817,True
SMHL,2026-08-05,493.0,498.7,491.0,497.0,0.81,23996.0,978.0,443.0,489.3108478291287,489.2252869970253,59.14634146341465,41747.2,0.779548496975724,0.271266163985581,True
MFIL,2026-07-31,760.0,790.0,760.0,788.0,3.68,24102.0,938.0,545.0,787.1542524343068,787.1184682521199,61.070559610705615,43687.066666666666,0.2772711088796996,0.09761774943538057,True
SHL,2026-07-30,500.0,501.4,498.3,500.0,0.0,6446.0,559.8,464.0,497.8939842795038,497.8896946689813,63.45609065155809,20700.133333333335,0.40637480897080425,0.14290087870733714,True
NIMB,2026-07-29,203.0,203.8,199.1,199.5,-1.72,129373.0,232.5,181.0,197.07721882017276,197.000121362372,64.80836236933798,120620.36666666667,0.5846966363400327,0.20299132302624798,True
LUK,2026-07-28,10.3,10.91,10.3,10.91,5.92,64605.0,10.91,8.97,10.135082978537746,10.099474757026176,55.46666666666667,11046.066666666668,0.0012160935685805896,0.000740473009770426,True
KKHC,2026-07-27,282.3,290.0,280.0,283.0,0.25,297497.0,362.0,208.0,262.7225388974819,261.67280433462037,69.09385113268611,67584.5,1.536244019950027,0.5465146710421322,True
SAGAR,2026-07-27,1750.0,1800.0,1725.5,1743.0,-0.4,15108.0,2439.0,319.5,1685.1382628399201,1683.9086044152548,67.23385689354275,10117.366666666667,12.626708001326506,4.395635013111269,True
RSY,2026-07-27,10.05,10.41,10.05,10.2,1.49,13319.0,10.7,8.72,10.163664494501917,10.161834465452028,50.34013605442176,36249.23333333333,0.01282972817419079,0.004345713052054378,True
NBF2,2026-07-27,10.0,10.2,10.0,10.2,2.0,2400.0,10.7,8.89,10.022045942817876,10.012900807535699,54.13223140495867,7294.566666666667,0.010055373380221866,0.0034837918722153915,True
